timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Ambient Light-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Pressure-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637330742424,,,96.58233642578125,,33.76936340332031
1637330742425,,,,0.9866464023321845,
1637330742426,585.1393469598327,,,,
1637330742515,,0.0,96.51609802246094,0.9866674099914415,33.76936340332031
1637330742560,553.8694763975475,,,,
1637330742649,,,96.28755187988281,,33.7159423828125
1637330742650,,,,0.9864411447008774,
1637330742651,544.4947444617188,,,,
1637330742739,,0.0,,,
1637330742784,,,96.17494201660156,,33.73374938964844
1637330742785,,,,0.9867023474606001,
1637330742830,523.8095000217301,,,,
1637330742919,,,96.05239868164062,,33.7159423828125
1637330742921,,,,0.9866572449950268,
1637330742925,517.0370083650623,,,,
1637330743009,,0.0,,,33.73374938964844
1637330743010,,,95.83381652832031,,
1637330743054,,,,0.9867013686090935,
1637330743056,479.7688125747511,,,,
1637330743144,,,95.71127319335938,,33.7159423828125
1637330743145,,,,0.98665920269804,
1637330743146,450.4249516907538,,,,
1637330743279,,0.0,,,
1637330743280,,,95.51586151123047,,33.644710540771484
1637330743281,,,,0.9863416030322831,
1637330743324,444.2877203812971,,,,
1637330743414,,,95.49928283691406,,33.7159423828125
1637330743415,,,,0.9866288583013354,
1637330743416,436.1851437413944,,,,
1637330743549,,0.0,,,33.66251754760742
1637330743550,,,95.19126892089844,0.9866541578479675,
1637330743594,396.9986277374971,,,,
1637330743684,,,95.07865905761719,,33.68032455444336
1637330743685,,,,0.986663795770494,
1637330743686,370.8166029277889,,,,
1637330743774,,0.0,,,
1637330743819,,,94.88656616210938,,33.68032455444336
1637330743820,,,,0.9867131901234425,
1637330743865,365.3333372819689,,,,
1637330743954,,,,,33.73374938964844
1637330743957,,,94.81700897216797,0.986663795770494,
1637330743958,359.8937523746633,,,,
1637330744044,,0.0,,,
1637330744089,,,94.72427368164062,,33.69813537597656
1637330744090,,,,0.9866546096255859,
1637330744135,326.4248454653038,,,,
1637330744224,,,,,33.73374938964844
1637330744225,,,94.51560974121094,,
1637330744226,,,,0.9865835299469529,
1637330744227,299.49238506188277,,,,
1637330744314,,0.0,,,33.68032455444336
1637330744315,,,94.40631866455078,,
1637330744359,,,,0.9866339031514079,
1637330744361,289.6725611289809,,,,
1637330744449,,,,,33.69813537597656
1637330744450,,,94.47256469726562,0.9864008611965673,
1637330744451,262.63871284548355,,,,
1637330744584,,0.0,,,33.69813537597656
1637330744585,,,94.37651062011719,,
1637330744586,,,,0.9866478329613095,
1637330744629,242.71845334391327,,,,
1637330744719,,,94.26390075683594,,33.69813537597656
